Alloy,Tg,Tx,Tl,TEN,VA,d,Sm,Dmax
Ag50Mg11.5Ca30.8Cu7.7,452,487,809,1.57,15.51,0.1,10,1.5
Cu45.5Mg27.3Ca27.2,389,410,831,1.49,13.8,0.13,9.46,1.5
Cu50Mg22.7Ca27.3,392,410,864,1.52,13.72,0.13,9.23,1.5
Pr68Cu25Al7,382,402,705,1.36,26.76,0.19,7.95,1.5
Pr72Cu10.5Ni10.5Al7,395,410,760,1.33,27.6,0.19,8.79,1.5
Pr68Cu12.5Ni12.5Al7,399,416,703,1.36,26.55,0.2,9.53,1.5
Pr72Cu12.5Ni12.5Al3,367,402,743,1.34,27.65,0.19,8.46,1.5
Y56Al24Co20,636,690,1078,1.45,19.55,0.21,9.77,1.5
Cu52.5Zr40Ga7.5,744,777,1218,1.67,14.61,0.15,8.27,1.5
Ti47.5Zr2.5Cu42.5Ni7.5,673,720,1225,1.75,13.4,0.1,8.75,1.5
Ni60Nb25Zr15,860,891,1390,1.75,12.78,0.15,8.67,1.5
Ni60Nb35Zr5,887,911,1458,1.77,12.38,0.15,7.62,1.5
Ca55Mg20Zn25,383,428,702,1.22,16.81,0.15,9.14,2
Ca65Mg10Zn25,377,412,659,1.19,17.92,0.15,7.95,2
Ca63Al32Cu5,512,523,831,1.24,17.24,0.17,7.71,2
Ag10Al30Ca60,483,531,868,1.28,17.21,0.16,8.4,2
Ce70Al15Cu15,364,406,660,1.31,27.45,0.2,8.24,2
Ca50Mg10Zn15Cu25,395,427,702,1.35,16.14,0.15,10.88,2
Ce70Al10Cu18Zn2,345,399,730,1.32,27.52,0.19,8.59,2
Ca60Mg25Cu15,390,416,676,1.21,18.08,0.12,8.31,2
Ce65Al15Cu20,363,425,773,1.35,26.15,0.21,8.94,2
Ca50Mg30Cu20,402,439,731,1.27,16.87,0.12,9.14,2
Ce70Al10Cu20,341,408,722,1.33,27.56,0.19,8.02,2
Ca65Mg20Cu15,386,405,679,1.2,18.64,0.12,7.86,2
Ca55Mg20Cu25,399,426,720,1.29,17.32,0.13,8.89,2
Cu45.5Mg36.4Ca18.1,391,420,851,1.52,12.79,0.11,9.07,2
Ca65Mg10Cu25,388,420,711,1.26,18.43,0.12,7.69,2
Mg57Ni26La17,454,499,831,1.43,15.09,0.19,9.37,2
La66Al14Cu20,395,449,731,1.33,27.49,0.21,8.86,2
La55Al15Ag10Cu20,416,483,787,1.42,24.75,0.22,11.45,2
Cu50Mg18.2Ca31.8,392,451,828,1.51,14.22,0.13,9.14,2
La56.5Al17.9Cu12.8Ni12.8,433,492,823,1.4,24.58,0.24,11.65,2
La55.4Al18.4Cu13.1Ni13.1,426,491,881,1.4,24.26,0.24,11.8,2
Ce57Al10Ni12.5Cu15.5Nb5,369,415,677,1.41,24.43,0.22,12.07,2
Nd55Al25Co20,525,593,859,1.41,22.24,0.23,10.25,2
Gd55Al25Co20,585,657,971,1.44,20.88,0.22,10.07,2
Gd55Ni22Mn3Al20,533,603,955,1.45,20.93,0.22,10.82,2
Y55Al25Co20,633,694,1060,1.45,19.33,0.21,9.86,2
Cu55Zr40Ga5,736,779,1193,1.67,14.66,0.15,7.8,2
Cu35Ag25Zr30Ti10,677,706,1138,1.71,15.01,0.12,11.37,2
Cu52.5Zr42.5Ga5,733,777,1187,1.65,14.98,0.15,7.86,2
Cu64Zr36,787,833,1230,1.69,14.25,0.14,6.15,2
Cu42Zr42Ag16,685,757,1232,1.67,15.52,0.13,9.13,2
Cu55Ni5Zr30Ti10,717,750,1204,1.7,14.15,0.14,9.58,2
Ti50Ni15Cu25Sn3Be7,688,733,1207,1.74,12.78,0.14,11.25,2
Ti44.10Zr9.80Cu37.04Ni7.06Sn2.00,650,692,1167,1.72,14.12,0.11,10.62,2
Zr50Cu48Ag2,668,719,1192,1.62,16.1,0.14,7.17,2
Cu50Zr50,686,744,1237,1.62,16.04,0.14,6.49,2
Cu46Zr54,696,716,1201,1.59,16.55,0.14,6.44,2
Cu45Zr15Ag10Hf30,712,799,1275,1.64,15.71,0.13,10.94,2
Ni60Zr20Ti7.5Nb7.5Al5,824,885,1385,1.73,12.33,0.16,10.62,2
Ni60Zr20Ti5Nb10Al5,826,896,1379,1.73,12.36,0.16,10.56,2
Ni60Zr20Ti2.5Nb12.5Al5,836,897,1378,1.73,12.39,0.16,10.33,2
Ni61Zr22Nb7Al4Ta6,867,927,1379,1.72,12.64,0.16,10.29,2
Ni60Nb30Zr10,875,902,1413,1.76,12.58,0.15,8.29,2
Ni60Nb30Ta10,934,961,1559,1.78,12.39,0.15,8.24,2
Mg60Ni23.6La16.4,450,490,819,1.42,15.02,0.18,9.08,2.5
Ca30Mg25Cu45,387,430,798,1.48,14.12,0.13,9.49,2.5
Ti42.5Zr2.5Hf5Cu42.5Ni7.5,677,726,1203,1.74,13.67,0.11,10.13,2.5
Cu55.2Hf23Ti13.8Nb8,745,783,1198,1.7,14.33,0.13,10.08,2.5
Mg75Ni15Nd10,450,470,790,1.38,13.41,0.14,6.77,2.8
Ce70Al10Cu17Zn3,341,412,733,1.32,27.5,0.19,8.77,3
Ce60Al20Cu20,396,444,830,1.37,24.75,0.22,9.66,3
Mg65Cu25Dy10,422,492,750,1.45,13.01,0.11,7.61,3
Mg75Ni15Gd10,449,482,799.1,1.39,13.16,0.13,6.68,3
Ag30.8Mg30.8Ca30.7Cu7.7,407,427,738,1.45,15.3,0.11,11.1,3
Mg74Ni15Gd10Ag1,442.3,482.7,791.4,1.4,13.17,0.13,7.12,3
Mg65Cu25Er10,422,480,766,1.45,12.87,0.11,7.57,3
Ag30.8Mg23.1Ca30.7Cu15.4,413,432,803,1.5,15.14,0.11,11.69,3
Cu33.3Mg33.3Ca33.3,391,406,731,1.4,14.72,0.13,9.72,3
Ag38.5Mg23Ca30.8Cu7.7,384,416,854,1.5,15.39,0.1,10.93,3
Ag46.2Mg23.1Ca23Cu7.7,398,430,825,1.57,14.61,0.1,10.58,3
Ce70Al10Cu10Ni10,359,377,714,1.33,27.4,0.2,9.28,3
Cu40.9Mg31.8Ca27.3,392,414,785,1.47,13.91,0.12,9.59,3
La55Al25Ag5Cu15,452,503,860,1.39,24.37,0.23,11.2,3
Ca55Mg15Cu30,397,437,706,1.32,17.21,0.13,8.73,3
La55Al25Cu20,456,495,896,1.39,24.22,0.24,10.33,3
Ce65Al12.5Ni12.5Cu10,371,402,709,1.36,26,0.21,10.23,3
Mg60Ni23.6Y1La15.4,454,491,827,1.42,14.94,0.18,9.37,3
Ce60Al15Ni15Cu10,390,468,685,1.39,24.61,0.23,11.04,3
Cu40.9Mg18.2Ca40.9,393,431,717,1.42,15.42,0.14,9.33,3
Cu45.5Mg22.7Ca31.8,388,427,793,1.48,14.31,0.13,9.44,3
La55Al17.5Ag7.5Cu20,425,498,852,1.41,24.62,0.23,11.39,3
Cu45.5Mg18.1Ca36.4,397,426,735,1.47,14.82,0.13,9.28,3
La55Al25Ni20,491,555,941,1.39,23.89,0.25,10.52,3
Sm40Y15Al25Co20,590,657,950,1.43,20.85,0.22,12.75,3
Tb55Al25Co20,612,674,1001,1.38,20.35,0.22,10,3
Gd36Al24Co20Y20,603,658,1048,1.44,20.56,0.22,12.95,3
Dy55Al25Co20,635,708,1031,1.45,19.84,0.21,9.93,3
Ho55Al25Co20,649,707,1055,1.46,19.84,0.21,9.93,3
Tm39Y16Al25Co20,664,735,1140,1.46,19.33,0.21,12.62,3
Tm55Al25Co20,678,733,1180,1.47,19.33,0.21,9.86,3
Sc36Al24Co20Y20,662,760,1048,1.5,16.61,0.18,12.45,3
Cu40Zr40Ag10Al10,710,765,1273,1.65,14.85,0.14,10.69,3
Cu40Ag20Zr30Ti10,677,708,1125,1.71,14.86,0.12,11.18,3
Cu55Ag5Zr30Ti10,704,733,1149,1.7,14.39,0.13,9.52,3
Lu55Al25Co20,701,781,1167,1.48,18.6,0.2,9.76,3
Cu60Zr33Ti7,740,768,1191,1.69,14.39,0.14,7.82,3
Cu60Hf17.5Ti22.5,732,755,1229,1.73,13.57,0.12,8.41,3
Zr47Cu46Al7,705,781,1163,1.61,15.5,0.15,8.27,3
Ti43.15Zr9.59Cu36.24Ni9.06Sn1.96,649,699,1167,1.73,13.99,0.11,10.87,3
Cu48Zr48Ag4,681,743,1199,1.63,15.91,0.14,7.63,3
Zr51Cu20.7Ni12Al16.3,722,800,1132,1.56,15.61,0.16,11.11,3
Ti40Zr10Cu32Pd18,683,740,1272,1.79,14.22,0.1,10.94,3
Ti40Zr10Cu30Pd20,687,747,1279,1.79,14.25,0.1,11.01,3
Cu45Zr25Ag10Hf20,698,783,1218,1.64,15.71,0.13,11.13,3
Cu52.5Hf40Al7.5,779,833,1250,1.64,14.59,0.15,8.28,3
Zr62Cu23Fe5Al10,651,751,1186,1.51,17.36,0.14,9.19,3
Zr65.5Al5.6Ni6.5Cu22.4,630,733,1211,1.51,17.8,0.14,8.63,3
Zr49Ti17Ni20Cu14,631,669,1087,1.58,16.86,0.14,11.08,3
Mg73Ni15Gd10Ag2,442.3,488.7,779.8,1.4,13.18,0.13,7.45,3.5
Mg65Ni20Nd15,459,501,805,1.4,14.33,0.16,8.34,3.5
Mg60Ni23.6Y0.25La16.15,456,491,829,1.42,15,0.18,9.18,3.5
Ca35Mg25Cu40,386,429,748,1.44,14.78,0.13,9.62,3.5
Al25Gd55Ni20,588,642,950,1.44,20.8,0.23,10.12,3.5
Ca60Mg20Zn20,378,415,660,1.19,17.57,0.14,8.66,4
Yb62.5Zn15Mg17.5Cu5,381,401,645,1.26,20.8,0.16,9.56,4
Mg63.5Cu27.5Gd9,425,469,773,1.46,12.94,0.12,7.67,4
Mg63Cu27Gd10,418,481,755,1.46,13.15,0.12,7.84,4
Mg61.5Cu29.5Gd9,433,472,785,1.47,12.9,0.12,7.81,4
Mg61Cu29Gd10,420,480,762,1.47,13.11,0.12,7.98,4
Mg65Cu25Y10,413,476,760,1.45,12.91,0.11,7.58,4
Ag38.4Mg30.8Ca23.1Cu7.7,387,420,833,1.52,14.54,0.1,10.88,4
Mg71Ni15Gd10Ag4,440.3,485,773.5,1.41,13.2,0.13,7.98,4
Mg59Cu31Gd10,424,482,769,1.48,13.07,0.12,8.1,4
Ca60Mg20Cu20,387,412,678,1.24,17.98,0.12,8.45,4
Mg68Ni15Gd10Ag7,437.3,472.8,746.9,1.43,13.23,0.13,8.61,4
Ca65Mg15Cu20,383,409,682,1.23,18.53,0.12,7.9,4
Ca40Mg25Cu35,399,436,680,1.39,15.44,0.13,9.62,4
Mg60Ni23.6Y0.5La15.9,456,492,829,1.42,14.98,0.18,9.25,4
Mg60Ni23.6Y0.75La15.65,456,495,839,1.42,14.96,0.18,9.32,4
Cu40.9Mg27.3Ca31.8,391,430,745,1.45,14.41,0.13,9.63,4
La55Al20Ag5Cu20,429,503,823,1.4,24.48,0.23,11.23,4
La55Al25Ni5Cu15,459,520,878,1.39,24.13,0.24,11.31,4
La55Al25Ni15Cu5,473.6,514.2,899.6,1.39,23.97,0.25,11.41,4
Sm55Al25Co20,556,625,889,1.42,21.41,0.23,10.14,4
Gd60Ni15Al25,603,648,1006,1.41,21.98,0.22,9.51,4
Cu57Zr36Ag7,712,755,1156,1.7,14.47,0.14,7.95,4
Cu50Ag10Zr30Ti10,694,726,1130,1.7,14.54,0.13,10.31,4
Cu60Zr30Ti10,720,757,1160,1.7,14.23,0.13,8.12,4
Cu46Zr37Al7Y10,665,743,1118,1.6,16.13,0.16,10.42,4
Cu44Zr44Ag12,684,764,1156,1.65,15.65,0.13,8.78,4
Cu46Zr46Ag8,677,745,1167,1.64,15.78,0.14,8.3,4
Cu60Hf20Ti20,740,767,1211,1.72,13.7,0.12,8.46,4
Ti40Zr10Cu40Pd10,660,709,1184,1.76,14.09,0.1,10.33,4
Zr50Cu38Ag12,663,734,1187,1.62,16.42,0.13,8.69,4
Cu45Zr35Ag10Hf10,690,769,1171,1.64,15.71,0.13,10.54,4
Cu60Hf25Ti15,730,790,1177,1.71,13.97,0.13,8.4,4
Zr50Cu43Ag7,669,727,1171,1.62,16.26,0.13,8.12,4
Zr50Cu45Ag5,669,728,1188,1.62,16.2,0.14,7.8,4
Ti40Zr10Cu34Pd16,672,723,1231,1.78,14.18,0.1,10.84,4
Cu58.8Hf24.5Ti14.7Nb2,746,792,1184,1.71,14.06,0.13,9.06,4
Cu57.6Hf24Ti14.4Nb4,747,789,1188,1.7,14.15,0.13,9.48,4
Zr57.66Cu21.39Fe4.65Al9.3Ag7,664,751,1191,1.54,17.04,0.14,10.67,4
Cu56.4Hf23.5Ti14.1Nb6,745,785,1190,1.7,14.24,0.13,9.81,4
Zr61.38Cu22.77Fe4.95Al9.9Ag1,656,753,1175,1.52,17.31,0.14,9.56,4
Zr65Al8.7Cu14.4Ni11.9,647,709.5,1164.8,1.51,17.58,0.15,9.32,4
Zr49Ti14Ni20Cu17,625,674,1096,1.58,16.64,0.14,11.11,4
Ti34Zr11Cu47Ni8,698.4,727.2,1169,1.74,13.47,0.12,10.2,4.5
Ca65Li14.54Mg12.46Zn8,308,378,614,1.09,18.19,0.14,9.18,5
Ca65Li9.96Mg8.54Zn16.5,317,339,581,1.13,17.98,0.15,9.24,5
Ca65Li7.54Mg6.46Zn21,328,360,606,1.16,17.86,0.15,8.98,5
Ca65Li6.46Mg5.54Zn23,333,373,621,1.17,17.81,0.15,8.8,5
Ca65Mg20Zn15,380,405,668,1.16,18.33,0.13,8.02,5
Mg65Cu25Tb10,414,487,733,1.44,13.1,0.12,7.65,5
Mg65Cu25Gd5Y5,413,486,755,1.45,13.05,0.12,8.21,5
Mg65Cu20Ni5Gd10,420,481,786,1.45,13.11,0.13,8.75,5
Mg70Ni15Gd10Ag5,449.6,479.1,764.2,1.42,13.21,0.13,8.2,5
Ce68Al10Cu20Ni2,352,421,710,1.34,27.01,0.2,8.86,5
Ce68Al10Cu20Fe2,352,423,708,1.34,27.04,0.2,8.84,5
Cu36.4Mg36.4Ca27.2,381,400,750,1.44,13.99,0.12,9.61,5
Ce67Al10Cu20Nb3,355,404,723,1.34,27.05,0.19,9.06,5
Cu40.9Mg22.7Ca36.4,396,432,719,1.44,14.92,0.13,9.55,5
La62Al14Cu16Ag8,407,458,744,1.37,26.64,0.21,10.48,5
La62Al14Cu17Ag7,406,458,739,1.37,26.61,0.21,10.43,5
La62Al14Cu18Ag6,406,457,736,1.37,26.57,0.21,10.36,5
La60Al15Ag5Cu20,401,481,759,1.38,25.97,0.22,10.56,5
La62Al14Cu19Ag5,405,456,730,1.36,26.54,0.21,10.28,5
La62Al14Cu22Ag2,401,455,722,1.36,26.45,0.22,9.87,5
La62Al14Cu24,401,449,734,1.36,26.39,0.22,9.32,5
La55Al25Ni10Cu10,467.4,547.2,835,1.39,24.05,0.24,11.58,5
La65Al10Ag5Cu20,380,458,716,1.35,27.46,0.2,9.68,5
La66Al14Cu10Ni10,395,449,731,1.33,27.32,0.22,10.12,5
La64.6Al14.6Cu10.4Ni10.4,406,442,706,1.34,26.92,0.22,10.37,5
Ce65Al10Ni10Cu10Nb5,359,384,702,1.35,26.54,0.2,10.79,5
La58.6Al17.0Cu12.2Ni12.2,421,489,774,1.38,25.18,0.23,11.35,5
La55Al25Co20,477,540,771,1.38,23.97,0.25,10.47,5
Pr55Al25Co20,509,585,826,1.4,22.8,0.24,10.33,5
Pr60Al10Ni10Cu20,417,452,806,1.41,24.49,0.22,10.74,5
Nd60Fe20Co10Al10,485,615,815,1.4,23.92,0.21,10.65,5
Tb36Y20Al24Co20,619,686,1021,1.4,20.21,0.21,12.9,5
Dy46Al24Co18Fe2Y10,627,677,1023,1.44,19.99,0.21,12.54,5
Gd60Co25Al15,572,617,952,1.43,22.13,0.21,9.41,5
Ho35Y21Al24Co20,644,696,1074,1.45,19.87,0.21,12.89,5
Er55Al25Co20,663,722,1079,1.46,19.08,0.21,9.83,5
Zr26Ti10Cu8Ni8Be20Y4Mg24,650,700,951,1.49,13.67,0.21,16.34,5
Cu43Zr43Ag7In7,704,748,1135,1.65,15.53,0.13,9.78,5
Lu39Y16Al25Co20,687,769,1117,1.47,18.81,0.2,12.54,5
Cu45Ag15Zr30Ti10,687,717,1121,1.71,14.7,0.12,10.84,5
Cu59.4Zr29.7Ti9.9Sn1,730,776,1155,1.7,14.2,0.13,8.51,5
Cu54Zr27Ti9Be10,720,762,1130,1.69,13.18,0.17,10.49,5
Cu58.8Zr29.4Ti9.8Y2,707,757,1122,1.69,14.52,0.14,8.82,5
Cu45Ni5Ag10Zr30Ti10,710,738,1160,1.7,14.46,0.13,11.7,5
Cu47Zr43Al7Ag3,716,795,1156,1.64,15.08,0.15,9.17,5
Cu46Zr46Al8,701,783,1155,1.61,15.35,0.15,8.43,5
Cu45Zr48Al7,708,766,1186,1.61,15.63,0.15,8.26,5
Ti45Ni15Cu25Sn3Be7Zr5,680,741,1142,1.73,13.05,0.14,12.66,5
Cu43Zr43Ag7Ti7,670,714,1118,1.64,15.89,0.13,9.77,5
Cu50Zr42.5Ti7.5,677,717,1152,1.64,15.64,0.14,8.2,5
Zr50Cu40Ag10,667,733,1177,1.62,16.36,0.13,8.49,5
Zr54Al15Ni10Cu19Y2,714,787,1112,1.54,16.44,0.16,11.27,5
Zr53Al14Ni10Cu19Y4,668,766,1069,1.53,16.72,0.16,11.64,5
Zr55Al20Co20Cu5,737,815,1285,1.52,15.99,0.17,10.34,5
Zr58.9Cu21.85Fe4.75Al9.5Ag5,663,747,1189,1.53,17.13,0.14,10.39,5
Zr36Nb12Cu10Ni8Be20Y2Mg12,653,733,1029,1.51,14.63,0.21,15.83,5
Zr36Nb12Cu10Ni6Fe2Be20Y2Mg12,670,712,1029,1.51,14.66,0.21,16.19,5
Zr40Ti15Cu11Ni11Be21.5Y1Mg0.5,630,674,975,1.55,14.63,0.22,14.52,5
Zr64Al10.1Cu11.7Ni14.2,657.9,717.3,1158.5,1.51,17.38,0.15,9.54,5
Zr61.5Al10.7Cu13.65Ni14.15,664,732.1,1145.7,1.52,17.05,0.15,9.91,5.5
Ca60Mg15Zn25,379,427,650,1.21,17.36,0.15,8.63,6
Ca65Mg15Zn20,377,410,630,1.18,18.13,0.14,8.11,6
Mg65.5Cu25.5Gd9,411,457,741,1.45,12.99,0.12,7.52,6
Mg64.5Cu24.5Gd11,413,472,739,1.44,13.4,0.13,7.83,6
Mg65Cu15Ag10Er10,427,465,733,1.45,13.18,0.1,8.93,6
Ca47Mg19Zn7Cu27,393,440,676,1.35,16.1,0.14,10.78,6
Ca58Mg18Cu24,388,426,667,1.27,17.67,0.13,8.63,6
Ca45Mg25Cu30,400,438,678,1.35,16.1,0.13,9.5,6
Ca47.5Mg22.5Cu30,399,440,673,1.34,16.38,0.13,9.37,6
La62.5Al12.5Ag5Cu20,389,472,721,1.37,26.71,0.21,10.14,6
La62.5Al12.5Ag5Cu15Fe5,390,445,713,1.36,26.71,0.21,11.08,6
Cu54Zr36Ag10,719,759,1146,1.7,14.56,0.13,8.41,6
Cu54Ag6Zr33Ti7,709,738,1135,1.69,14.58,0.13,9.41,6
Cu46.4Ag11.6Zr35Ti7,689,732,1119,1.68,15.01,0.13,10.26,6
Cu47Zr43Al7Be3,715,798,1139,1.62,14.81,0.16,9.33,6
Cu45Zr45Ag10,683,756,1159,1.65,15.71,0.13,8.56,6
Cu49.5Zr42.075Ti7.425Sn1,683,703,1140,1.64,15.6,0.14,8.59,6
Ti40Zr10Cu38Pd12,666,715,1189,1.77,14.12,0.1,10.53,6
Ti40Zr10Cu36Pd14,669,718,1191,1.77,14.15,0.1,10.7,6
Ti55Zr10Cu9Ni8Be18,629,667,1013,1.63,13.85,0.18,11.93,6
Ti50Zr15Cu9Ni8Be18,622,662,1009,1.62,14.12,0.19,12.57,6
Zr63.5Al10.7Cu10.7Ni15.1,653.5,724.5,1157.3,1.51,17.29,0.15,9.61,6
Zr70Al8Cu16Ni6,641,707,1179,1.48,18.33,0.14,8.29,6
Zr63Al11.4Cu9.3Ni16.3,663.3,732.2,1164.3,1.51,17.19,0.15,9.66,6.5
Mg69Ni15Gd10Ag6,439.2,474.5,756.9,1.43,13.22,0.13,8.42,7
Ca53Mg23Cu24,406,439,655,1.29,17.12,0.13,9.05,7
La62.5Al12.5Ag5Cu17.5Fe2.5,391,464,711,1.36,26.71,0.21,10.77,7
Cu45Zr45Ag7Al3,688,768,1151,1.64,15.55,0.14,9.12,7
Cu43Zr40Ag7Ti10,656,707,1095,1.65,15.73,0.13,10.15,7
Mg65Cu15Ag10Gd10,416,459,686,1.45,13.51,0.12,9.04,7.5
Zr62.5Al12.1Cu7.95Ni17.45,668.9,738.2,1171.1,1.51,17.09,0.16,9.68,7.5
Ca50Mg25Zn15Cu10,383,430,723,1.27,16.46,0.14,10.79,8
Mg65Cu15Ag10Y4Gd6,424,467,682,1.45,13.4,0.11,9.56,8
Mg65Cu25Gd10,423,484,740,1.45,13.19,0.12,7.68,8
Ce69.8Al10Cu20Co0.2,339,414,721,1.33,27.51,0.19,8.14,8
Ca55Mg25Cu20,398,428,668,1.26,17.42,0.12,8.86,8
Mg60.5Cu28.5Gd11,425,485,755,1.47,13.32,0.13,8.13,8
Mg58.5Cu30.5Gd11,427,490,753,1.48,13.28,0.13,8.26,8
Cu36.4Mg31.8Ca31.8,388,400,742,1.43,14.5,0.13,9.71,8
Ce68Al10Cu20Nb2,345,421,721,1.33,27.22,0.19,8.78,8
